Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              45.535      3.527          46.946    120.934
N                                  63.538     14.791          43.555    117.895
M                                  66.472     -9.155          52.061    138.530
k1                                102.848     -3.566          64.512    178.547
k2                                 49.607      9.256          32.684     92.260
tau1                               21.326     -1.115          22.210     57.435
tau2                               81.016     10.943          52.004    146.561
tauAch                            108.114     41.340          58.405    163.204
tauNor                            103.873    -18.953          50.722    157.740
beta                               87.856     53.256          57.693    153.081
h0                                173.820     12.318          73.078    245.294
mNor                               95.727      5.665          53.505    162.192
mAch                              129.664     57.550          65.447    195.455
