Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.321    -13.567         173.718    439.195
N                                 142.003     95.198         121.908    311.294
M                                 223.305    -28.681         178.422    464.699
k1                                383.522    -25.853         233.457    675.669
k2                                166.838     51.531         127.329    332.318
tau1                               81.108      4.481          88.759    217.761
tau2                              296.851     38.701         195.106    541.709
tauAch                            343.808    132.898         170.640    512.962
tauNor                            326.391    -64.370         161.273    511.765
beta                              276.827    156.784         188.703    501.172
h0                                544.370     21.005         231.845    781.385
mNor                              328.215     33.106         205.649    593.847
mAch                              474.565    228.876         248.205    717.793
