Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             127.587     -3.453         143.990    364.300
N                                 128.432     71.022         110.229    276.680
M                                 192.323    -24.047         155.184    402.520
k1                                328.034    -20.334         192.121    569.148
k2                                143.271     39.554         107.152    291.384
tau1                               67.255      1.555          77.220    190.689
tau2                              253.165     34.148         164.432    463.952
tauAch                            303.422    121.274         152.907    456.449
tauNor                            291.827    -59.583         142.254    449.332
beta                              245.472    141.356         167.931    438.808
h0                                477.525     25.153         208.238    687.703
mNor                              283.167     25.022         174.429    509.092
mAch                              401.829    193.134         215.603    610.595
