Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             120.578    -12.252         147.671    353.187
N                                 114.115     74.931         105.584    254.749
M                                 181.623    -23.958         147.669    380.026
k1                                313.579    -24.024         195.233    551.131
k2                                136.567     44.030         105.553    277.980
tau1                               64.076      5.358          72.531    181.601
tau2                              243.103     33.268         158.121    446.492
tauAch                            281.101    107.031         145.210    420.810
tauNor                            265.659    -54.233         140.820    417.828
beta                              227.459    127.776         155.181    411.206
h0                                445.054     20.007         189.987    640.628
mNor                              270.437     28.289         175.455    490.278
mAch                              389.363    189.977         208.404    590.572
