Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             135.037     -1.488         152.238    380.401
N                                 151.838     63.606         111.603    304.304
M                                 201.475    -28.373         163.315    422.077
k1                                337.863    -19.597         201.706    587.218
k2                                146.974     41.996         110.498    297.203
tau1                               69.413      1.233          80.092    195.091
tau2                              261.325     34.648         173.480    479.822
tauAch                            314.199    125.885         167.648    475.016
tauNor                            309.577    -58.614         148.220    471.676
beta                              258.312    149.728         166.871    457.959
h0                                504.138     31.124         206.161    720.506
mNor                              295.739     26.015         188.944    524.843
mAch                              413.173    199.273         223.640    630.133
