Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              63.822    -12.120          73.838    185.517
N                                  62.332     43.219          47.463    126.113
M                                  91.445    -13.796          70.692    188.845
k1                                158.972    -13.994          99.091    283.161
k2                                 73.140     27.424          50.322    138.096
tau1                               33.210      6.564          34.711     92.447
tau2                              126.045     16.410          82.249    226.542
tauAch                            137.029     47.269          65.936    199.512
tauNor                            128.317    -24.242          64.440    203.287
beta                              109.668     58.692          78.683    201.595
h0                                214.908      9.943          94.872    310.019
mNor                              139.965     17.744          91.357    249.379
mAch                              200.186     98.387         102.845    300.510
