Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.612     -5.258         165.891    424.401
N                                 146.515     83.944         127.845    320.322
M                                 223.537    -27.259         180.691    467.673
k1                                382.427    -24.285         218.907    664.370
k2                                167.047     46.148         131.096    340.176
tau1                               78.524      1.968          90.488    221.851
tau2                              294.793     39.911         186.256    540.468
tauAch                            352.710    140.498         176.611    530.375
tauNor                            337.834    -69.245         169.274    521.510
beta                              284.721    163.805         200.262    509.929
h0                                554.753     27.629         247.602    798.821
mNor                              329.069     29.239         210.944    593.725
mAch                              469.004    225.720         256.995    712.448
