Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.179     -5.991         164.410    412.863
N                                 146.479     78.628         123.183    311.369
M                                 215.304    -29.247         168.329    452.159
k1                                366.174    -23.822         227.186    639.616
k2                                157.812     47.908         123.528    322.759
tau1                               75.366      2.994          85.692    211.949
tau2                              282.417     37.813         185.947    520.884
tauAch                            334.010    132.899         171.743    505.129
tauNor                            325.627    -64.297         166.547    502.139
beta                              273.937    157.522         187.005    490.220
h0                                535.032     28.957         234.483    768.028
mNor                              317.359     29.794         212.464    570.729
mAch                              449.979    217.597         234.052    685.659
