Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              89.912      0.074          97.021    251.379
N                                  96.360     46.130          75.020    196.762
M                                 134.290    -16.725         103.461    280.172
k1                                225.493    -12.558         130.874    389.747
k2                                100.278     25.532          74.289    199.979
tau1                               46.391      0.151          54.401    130.547
tau2                              174.722     23.442         115.521    318.196
tauAch                            213.607     85.332         106.005    320.198
tauNor                            205.451    -41.228          98.124    314.360
beta                              172.492    100.320         119.967    305.869
h0                                335.407     19.016         148.655    481.458
mNor                              196.925     15.891         121.376    349.569
mAch                              276.290    131.016         140.488    418.940
