Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             141.784     -8.742         166.319    416.393
N                                 133.890     85.684         124.793    309.474
M                                 217.167    -27.458         173.272    456.756
k1                                375.827    -26.463         223.371    655.984
k2                                161.461     48.419         137.147    335.301
tau1                               76.363      3.155          88.432    218.784
tau2                              289.178     39.593         191.597    534.236
tauAch                            340.435    134.862         173.350    515.033
tauNor                            326.576    -67.795         167.334    507.473
beta                              275.775    157.210         179.061    497.255
h0                                538.051     25.235         235.333    777.100
mNor                              321.115     31.003         206.870    585.430
mAch                              461.479    225.020         241.517    703.469
