Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             100.380     -7.155         121.973    295.827
N                                  96.717     60.005          86.177    217.017
M                                 153.053    -19.488         125.624    321.055
k1                                261.310    -18.096         162.378    458.715
k2                                113.657     34.183          92.502    232.511
tau1                               54.049      3.582          61.178    151.724
tau2                              201.284     27.714         128.538    371.780
tauAch                            237.382     92.270         118.848    357.956
tauNor                            226.974    -45.846         117.235    354.174
beta                              193.097    110.317         128.496    348.155
h0                                378.288     18.882         161.663    543.593
mNor                              225.544     21.750         142.166    409.385
mAch                              324.771    156.683         168.527    492.441
