Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.515     -4.842         176.624    439.443
N                                 153.467     90.216         127.405    325.677
M                                 229.109    -27.682         176.718    476.224
k1                                391.748    -22.774         250.359    681.074
k2                                169.798     46.033         129.405    339.872
tau1                               81.930     -0.541          84.904    221.162
tau2                              300.568     38.939         193.079    549.531
tauAch                            359.647    144.853         187.131    540.107
tauNor                            345.824    -69.197         169.588    533.042
beta                              288.882    166.976         203.086    518.230
h0                                566.132     22.323         233.514    813.004
mNor                              333.552     29.164         203.062    601.610
mAch                              477.781    228.526         259.690    724.871
