Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              23.729     -2.703          25.154     62.350
N                                1052.654   1010.295        1919.124   4590.773
M                                  33.658      8.664          29.632     75.073
k1                                 46.485      0.156          29.400     86.101
k2                                 21.396     -6.415          15.404     42.247
tau1                                8.547      1.369           9.550     22.899
tau2                               36.383     -3.689          26.018     71.908
tauAch                             50.935    -18.042          29.275     83.874
tauNor                           1071.859  -1007.947        1915.625   4552.892
beta                               43.851    -26.967          29.722     78.338
h0                                100.753      7.053          39.969    138.518
mNor                               49.045     -2.739          26.012     77.577
mAch                               64.191    -24.646          31.812     96.782
