Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             108.255    -11.171         126.934    316.122
N                                 102.875     68.054          94.648    228.386
M                                 162.886    -21.469         125.507    340.618
k1                                283.441    -22.106         175.495    496.530
k2                                123.587     40.043          92.710    251.040
tau1                               57.379      4.596          66.424    164.209
tau2                              219.496     29.939         147.988    402.853
tauAch                            253.300     96.630         122.266    378.208
tauNor                            238.645    -49.229         126.043    375.215
beta                              203.879    114.080         138.712    369.176
h0                                398.396     17.175         173.621    574.661
mNor                              242.848     25.749         155.250    441.579
mAch                              350.101    171.723         180.949    531.718
