Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.061    -11.728         177.584    438.172
N                                 140.892     94.621         127.725    313.145
M                                 223.529    -28.873         171.958    466.211
k1                                384.522    -25.501         234.249    675.882
k2                                166.343     50.774         127.926    333.152
tau1                               80.819      3.186          88.107    218.146
tau2                              297.594     38.724         189.606    543.406
tauAch                            346.025    135.108         167.635    517.676
tauNor                            330.087    -65.412         167.123    515.531
beta                              278.389    158.317         198.185    503.692
h0                                547.313     20.933         243.443    786.269
mNor                              327.759     32.756         212.220    594.442
mAch                              473.381    229.031         240.936    718.123
