Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.433     -2.352         172.359    426.011
N                                 156.424     80.923         128.973    328.075
M                                 226.413    -27.883         175.540    472.561
k1                                384.005    -23.129         234.609    664.934
k2                                168.950     45.106         127.998    340.529
tau1                               78.723      0.718          88.642    222.083
tau2                              297.264     39.723         192.430    542.369
tauAch                            358.486    143.580         177.691    538.260
tauNor                            344.867    -69.919         169.231    529.134
beta                              289.687    167.686         204.484    515.903
h0                                563.746     29.652         241.216    810.358
mNor                              332.510     28.230         207.675    595.360
mAch                              469.648    224.772         251.127    713.720
