Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.982     -6.776         178.612    443.823
N                                 155.159     90.239         129.640    324.411
M                                 228.420    -30.037         176.338    475.512
k1                                387.609    -22.896         234.987    678.895
k2                                167.317     48.837         127.152    333.520
tau1                               82.000      1.322          89.054    218.273
tau2                              298.137     38.270         199.397    546.551
tauAch                            353.549    140.655         182.152    530.426
tauNor                            342.047    -66.323         173.017    528.813
beta                              286.434    165.200         191.585    514.335
h0                                562.847     23.684         239.695    805.654
mNor                              332.935     30.724         213.834    598.116
mAch                              475.721    227.924         251.083    721.810
