Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              81.702     -9.819          92.380    238.617
N                                  77.726     52.047          69.973    169.397
M                                 121.684    -16.661          92.198    253.843
k1                                211.326    -16.854         130.579    371.451
k2                                 93.199     31.354          70.714    185.908
tau1                               43.244      4.565          48.405    122.397
tau2                              164.700     22.153         107.577    300.464
tauAch                            187.319     70.076          91.365    277.956
tauNor                            175.613    -35.679          93.074    277.772
beta                              150.996     83.851         102.810    273.882
h0                                295.123     13.297         126.040    425.081
mNor                              181.741     20.151         118.505    329.566
mAch                              262.077    128.577         136.915    396.937
