Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.089     -7.797         181.724    445.787
N                                 153.331     91.117         131.921    323.068
M                                 229.305    -28.190         178.246    475.932
k1                                387.397    -22.907         231.463    678.924
k2                                168.996     47.533         125.390    334.638
tau1                               82.837      2.484          89.451    218.427
tau2                              297.168     38.427         196.562    544.499
tauAch                            353.060    139.213         176.114    529.307
tauNor                            339.423    -66.115         169.876    526.344
beta                              286.079    165.558         196.908    514.644
h0                                563.396     24.832         252.528    804.984
mNor                              332.800     29.934         209.318    598.861
mAch                              478.470    226.465         248.260    722.632
