Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              94.806    -12.380         103.909    262.237
N                                  88.351     59.795          71.894    179.542
M                                 132.234    -24.424         103.068    272.491
k1                                227.552    -13.207         135.766    397.330
k2                                100.460     35.542          69.688    190.064
tau1                               48.674      8.854          50.700    128.317
tau2                              174.854     26.687         113.661    321.217
tauAch                            201.022     71.120          93.772    297.410
tauNor                            189.487    -32.089          97.350    300.146
beta                              162.593     83.906         109.389    291.213
h0                                312.910     10.536         134.129    448.053
mNor                              197.896     27.290         121.958    348.119
mAch                              285.415    147.762         147.812    424.815
