Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.571    -14.613         169.974    429.851
N                                 164.355     65.632         126.952    333.850
M                                 217.870    -35.937         175.169    456.133
k1                                366.210    -26.119         229.981    650.222
k2                                161.182     57.418         119.086    317.822
tau1                               76.722      9.294          80.050    211.498
tau2                              287.247     37.549         188.549    524.983
tauAch                            324.720    122.798         159.612    486.943
tauNor                            325.116    -49.519         159.417    499.648
beta                              270.775    152.679         176.309    485.481
h0                                535.410     35.553         232.220    757.361
mNor                              321.651     35.643         202.159    575.459
mAch                              453.178    225.668         239.011    692.897
