Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.108     -8.736         167.904    422.539
N                                 137.582     86.711         126.147    313.240
M                                 219.906    -27.706         168.085    461.826
k1                                379.524    -26.404         228.695    662.891
k2                                163.207     48.851         126.277    337.089
tau1                               77.637      3.037          88.831    219.968
tau2                              291.898     39.706         200.991    538.984
tauAch                            343.844    136.285         176.025    519.793
tauNor                            330.118    -67.936         164.899    512.934
beta                              278.899    159.386         190.249    502.498
h0                                544.726     25.185         236.076    785.549
mNor                              324.606     31.220         206.260    590.983
mAch                              466.147    226.827         248.041    710.138
