Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             167.687     -1.327         185.955    467.844
N                                 206.513     80.855         133.741    372.864
M                                 241.164    -43.304         191.621    507.448
k1                                373.669    -13.064         233.036    673.471
k2                                166.989     51.064         118.033    314.420
tau1                               81.004      2.235          78.831    204.448
tau2                              291.422     33.435         193.622    538.998
tauAch                            354.026    135.762         174.393    536.691
tauNor                            367.375    -70.780         177.834    553.843
beta                              300.279    179.108         196.141    528.990
h0                                605.972     49.531         245.573    852.371
mNor                              369.422     47.044         202.424    590.777
mAch                              474.602    214.137         246.500    717.506
