Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.076     -5.297         181.580    441.652
N                                 155.405     89.708         129.011    326.283
M                                 229.254    -28.839         178.554    476.804
k1                                390.329    -22.652         244.729    680.440
k2                                168.304     47.154         124.197    337.124
tau1                               82.014      0.073          84.661    219.917
tau2                              299.288     38.702         198.127    548.722
tauAch                            357.251    143.506         180.637    537.417
tauNor                            345.365    -68.064         171.666    532.525
beta                              288.540    166.774         191.844    517.606
h0                                566.396     23.014         235.331    811.912
mNor                              333.865     29.797         214.192    600.552
mAch                              477.356    228.347         256.894    724.188
