Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.747      4.416         134.125    329.102
N                                 135.615     59.184          94.232    260.003
M                                 174.060    -30.018         137.524    369.355
k1                                283.723    -11.254         171.225    493.577
k2                                121.817     37.461          89.361    242.332
tau1                               58.944     -0.380          61.748    160.464
tau2                              219.879     27.613         139.830    405.939
tauAch                            268.001    108.103         138.472    411.540
tauNor                            272.490    -52.567         132.194    415.059
beta                              223.980    129.020         147.353    395.115
h0                                435.563     24.134         184.170    625.775
mNor                              256.013     21.114         150.285    438.685
mAch                              349.618    161.989         180.043    532.668
