Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.447      5.487         130.447    325.110
N                                 149.030     52.568          96.115    269.437
M                                 173.678    -30.173         137.337    368.631
k1                                268.787    -10.715         168.814    478.326
k2                                121.422     38.131          83.610    232.294
tau1                               57.250     -2.259          59.731    152.490
tau2                              209.292     21.703         136.417    390.443
tauAch                            256.016    103.833         133.301    395.810
tauNor                            265.164    -52.510         128.413    405.585
beta                              219.306    130.699         141.738    384.902
h0                                432.239     29.683         184.599    619.164
mNor                              259.572     15.951         141.578    425.434
mAch                              339.131    141.938         171.739    516.327
