Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.535    -15.461         177.274    440.452
N                                 143.114     96.490         125.005    308.698
M                                 222.708    -28.756         168.354    462.416
k1                                381.986    -26.119         236.293    674.885
k2                                167.550     52.542         123.732    330.355
tau1                               81.335      5.961          84.095    217.083
tau2                              296.478     38.364         196.653    539.463
tauAch                            340.804    130.225         162.193    506.207
tauNor                            321.788    -63.019         167.783    506.868
beta                              274.314    154.620         183.782    497.541
h0                                539.624     21.293         231.340    774.070
mNor                              327.855     33.628         210.988    592.285
mAch                              474.810    228.354         243.737    716.255
