Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              70.858      3.771          74.889    189.927
N                                  87.391     28.541          59.003    164.203
M                                 102.800    -14.090          77.729    214.266
k1                                165.682     -6.925          96.185    285.982
k2                                 75.781     17.460          54.563    145.750
tau1                               34.550     -0.812          37.614     94.890
tau2                              129.378     16.971          83.825    234.328
tauAch                            163.733     65.202          81.551    246.437
tauNor                            160.193    -29.888          74.748    242.407
beta                              133.864     79.531          86.028    234.182
h0                                261.125     18.053         110.333    371.772
mNor                              149.691     10.192          93.148    257.779
mAch                              204.033     93.973         105.552    309.025
