Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.874     -7.734         170.277    438.410
N                                 146.186     92.184         127.105    319.982
M                                 226.458    -28.022         181.408    471.833
k1                                388.800    -24.091         237.645    679.214
k2                                167.202     47.935         126.380    337.416
tau1                               81.359      0.789          88.658    219.819
tau2                              297.968     38.938         184.820    547.266
tauAch                            353.404    141.006         180.662    531.185
tauNor                            339.360    -67.830         168.675    525.815
beta                              284.231    163.353         191.362    512.200
h0                                558.147     21.076         241.238    802.038
mNor                              330.619     30.611         211.144    598.924
mAch                              475.881    229.002         242.386    722.534
