Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.051     -9.907         174.994    437.658
N                                 140.892     93.371         124.788    315.970
M                                 224.633    -28.157         174.582    468.491
k1                                386.847    -25.014         231.941    677.878
k2                                166.164     49.463         131.743    335.646
tau1                               81.232      1.875          85.260    219.278
tau2                              297.860     38.856         191.161    545.532
tauAch                            349.057    138.131         182.903    524.056
tauNor                            334.470    -66.808         170.305    520.027
beta                              280.998    160.574         192.446    507.468
h0                                551.650     20.649         240.682    793.341
mNor                              328.928     31.714         208.749    596.900
mAch                              474.447    229.359         235.351    720.482
