Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             127.120     -5.305         144.990    367.512
N                                 125.541     72.993         110.740    276.647
M                                 193.015    -24.169         153.689    404.886
k1                                330.298    -21.619         198.212    574.936
k2                                143.815     40.751         108.718    294.163
tau1                               67.538      2.108          77.631    191.863
tau2                              254.720     34.722         170.017    468.348
tauAch                            303.904    120.454         149.421    457.919
tauNor                            291.486    -59.761         146.356    450.734
beta                              245.918    141.252         167.469    440.929
h0                                479.612     24.256         213.490    690.590
mNor                              284.429     25.954         176.775    513.979
mAch                              405.919    195.832         220.505    617.147
