Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              93.290      1.269         101.597    257.977
N                                 101.689     46.335          78.362    204.141
M                                 138.604    -16.876         105.595    288.264
k1                                231.501    -12.130         133.190    399.062
k2                                103.698     25.329          75.218    205.287
tau1                               47.829     -0.209          50.278    134.177
tau2                              179.683     23.948         118.814    325.753
tauAch                            220.975     88.680         108.403    330.639
tauNor                            212.640    -42.462         102.136    324.197
beta                              178.197    104.038         117.080    315.161
h0                                345.935     20.255         150.497    496.497
mNor                              202.795     15.548         128.637    358.404
mAch                              283.256    133.446         141.458    428.916
