Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             122.102     10.908         130.775    317.544
N                                 175.400     47.519         120.553    319.369
M                                 175.665    -32.068         130.912    363.215
k1                                266.052     -7.645         159.454    462.111
k2                                121.486     29.712          82.224    228.881
tau1                               56.217     -3.489          58.103    148.335
tau2                              208.907     25.811         137.175    380.171
tauAch                            268.140    107.559         139.211    411.942
tauNor                            276.766    -42.495         129.042    411.995
beta                              236.739    146.940         150.947    401.273
h0                                463.526     51.659         186.824    642.559
mNor                              251.684     18.123         139.880    416.378
mAch                              343.508    158.482         171.390    502.090
