Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.235     -9.259         171.215    431.371
N                                 141.033     89.209         121.056    315.304
M                                 222.711    -28.237         172.020    466.146
k1                                381.912    -25.355         234.214    668.911
k2                                164.886     49.080         124.484    335.805
tau1                               79.527      3.355          85.619    219.519
tau2                              293.972     39.310         200.874    540.898
tauAch                            345.951    136.322         171.198    521.024
tauNor                            331.993    -66.814         170.203    516.263
beta                              280.270    160.442         193.335    505.478
h0                                549.119     24.864         238.252    789.786
mNor                              327.050     31.418         204.094    593.425
mAch                              470.439    227.291         245.476    714.466
