Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              64.421    -14.056          74.599    187.787
N                                  63.189     44.128          49.736    125.225
M                                  91.078    -13.754          69.284    187.067
k1                                156.609    -13.851          99.722    282.277
k2                                 73.800     28.132          49.405    136.030
tau1                               33.908      8.142          36.441     91.746
tau2                              124.929     15.954          78.490    223.372
tauAch                            133.443     44.323          62.445    193.541
tauNor                            126.981    -22.631          65.151    199.315
beta                              107.286     56.871          71.082    198.140
h0                                210.579     10.798          92.255    303.862
mNor                              141.355     17.939          87.853    247.530
mAch                              200.237     96.928         103.447    298.203
