Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             156.244     -4.178         181.338    444.231
N                                 167.716     83.175         131.761    335.893
M                                 230.259    -31.429         177.696    480.202
k1                                386.604    -21.928         232.427    676.224
k2                                167.378     48.794         121.906    333.180
tau1                               81.559      0.989          86.076    218.477
tau2                              297.476     38.436         198.201    546.297
tauAch                            355.436    142.569         174.308    535.527
tauNor                            348.965    -65.228         166.468    535.108
beta                              291.025    169.116         195.055    519.246
h0                                572.047     28.230         238.181    815.937
mNor                              335.706     29.914         209.808    598.325
mAch                              474.463    226.460         256.151    720.958
