Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.385     -6.052         167.351    417.613
N                                 142.058     83.840         123.798    314.210
M                                 219.648    -26.911         171.244    459.936
k1                                377.290    -24.919         235.214    655.971
k2                                163.962     46.270         126.815    335.373
tau1                               77.062      1.759          85.641    218.433
tau2                              290.933     39.332         196.567    534.118
tauAch                            346.447    137.952         179.339    521.638
tauNor                            331.807    -68.395         170.428    512.945
beta                              279.682    160.621         191.827    501.602
h0                                545.178     25.962         230.481    785.655
mNor                              323.536     29.474         201.991    585.842
mAch                              462.080    223.536         250.074    703.243
