Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.098    -13.625         182.626    435.334
N                                 141.787     96.066         124.066    309.669
M                                 222.259    -28.561         173.490    461.998
k1                                385.531    -26.942         242.393    675.944
k2                                167.168     52.133         123.534    333.351
tau1                               80.224      3.476          83.205    218.119
tau2                              298.002     38.747         198.552    543.410
tauAch                            344.864    133.585         171.005    513.018
tauNor                            326.184    -65.341         164.959    510.877
beta                              275.658    155.467         191.713    499.565
h0                                541.497     18.579         233.501    778.983
mNor                              327.309     33.632         201.664    593.973
mAch                              473.391    230.186         248.377    717.741
