Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.289     -5.579         177.032    442.533
N                                 156.787     89.095         127.441    326.793
M                                 229.084    -29.580         176.369    476.815
k1                                389.694    -22.840         225.171    680.364
k2                                167.823     48.097         129.239    335.813
tau1                               81.912      0.258          86.671    219.224
tau2                              299.075     38.422         194.964    548.567
tauAch                            356.034    142.913         174.913    535.326
tauNor                            345.202    -67.402         175.462    532.195
beta                              288.294    166.602         199.570    516.929
h0                                566.152     23.247         250.397    810.861
mNor                              333.936     30.056         202.614    600.081
mAch                              476.552    228.322         245.247    723.805
