Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             160.027     -0.927         170.307    448.298
N                                 181.309     78.481         125.727    351.803
M                                 235.341    -31.105         176.909    487.806
k1                                392.850    -20.148         232.109    683.238
k2                                171.665     45.694         119.023    337.345
tau1                               82.906     -1.425          85.711    219.472
tau2                              302.137     38.294         200.317    551.749
tauAch                            366.138    147.773         183.592    550.931
tauNor                            358.945    -66.550         171.748    547.071
beta                              298.151    174.513         206.186    529.416
h0                                586.515     28.817         243.400    833.978
mNor                              340.501     28.032         212.135    604.097
mAch                              479.245    228.196         248.308    727.877
