Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              99.758     -2.493         114.329    284.735
N                                 101.552     55.029          86.893    217.327
M                                 150.678    -18.624         113.704    315.329
k1                                256.404    -15.824         151.576    444.698
k2                                112.544     30.461          84.112    227.971
tau1                               52.524      0.986          59.036    148.694
tau2                              197.993     26.857         124.955    362.598
tauAch                            238.637     94.937         116.796    358.571
tauNor                            228.809    -46.679         113.164    352.202
beta                              192.698    111.143         130.284    343.912
h0                                375.177     19.614         156.926    539.651
mNor                              221.751     19.323         140.332    398.116
mAch                              314.553    150.865         160.687    477.642
