Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.997     -7.322         170.576    429.744
N                                 144.175     88.981         125.809    316.486
M                                 223.188    -27.279         170.836    465.643
k1                                383.024    -24.219         232.227    668.237
k2                                165.169     47.019         123.115    335.015
tau1                               79.756      1.185          86.261    218.138
tau2                              293.774     38.889         191.659    539.922
tauAch                            348.797    139.131         182.590    525.240
tauNor                            334.857    -67.576         171.517    518.630
beta                              281.275    161.756         183.681    506.138
h0                                551.353     22.633         231.957    792.616
mNor                              326.470     30.068         208.513    591.663
mAch                              469.254    226.022         250.370    712.587
