Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             130.854     -7.104         148.685    380.253
N                                 137.143     71.879         108.570    286.340
M                                 195.855    -30.840         148.332    415.692
k1                                330.116    -19.138         200.292    582.312
k2                                142.207     45.692         108.214    289.046
tau1                               67.884      3.691          76.258    189.724
tau2                              255.328     34.754         170.338    473.425
tauAch                            303.230    117.789         152.342    458.221
tauNor                            298.172    -55.156         145.285    460.203
beta                              248.433    141.663         163.688    445.027
h0                                486.613     24.938         207.417    698.241
mNor                              290.104     29.475         179.322    514.632
mAch                              409.578    198.666         216.889    623.559
