Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             156.000     -3.676         177.039    443.281
N                                 162.518     87.102         128.948    332.095
M                                 231.004    -29.566         190.439    480.164
k1                                391.461    -21.955         234.238    681.502
k2                                169.371     46.807         127.738    337.391
tau1                               82.202     -0.609          83.044    219.911
tau2                              300.560     38.489         195.249    550.144
tauAch                            360.034    145.291         184.630    541.891
tauNor                            349.847    -68.119         177.817    537.459
beta                              291.676    169.211         191.533    521.358
h0                                572.419     24.367         247.210    819.060
mNor                              335.819     29.176         208.569    601.844
mAch                              477.882    228.133         249.400    725.563
