Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              84.321     -1.503          96.118    239.418
N                                  86.894     45.832          73.115    183.984
M                                 127.358    -15.431          99.809    265.927
k1                                215.882    -13.014         125.822    373.874
k2                                 95.401     24.997          69.858    192.271
tau1                               44.256      0.560          50.000    125.177
tau2                              166.984     22.632         105.664    304.895
tauAch                            202.314     80.442         100.248    303.410
tauNor                            193.576    -39.483          96.825    297.445
beta                              162.960     94.237         110.170    290.312
h0                                317.093     16.786         137.937    455.914
mNor                              187.004     15.805         117.895    335.011
mAch                              264.778    126.575         136.477    401.712
