Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.837     -5.706         169.224    423.330
N                                 145.705     83.628         127.175    318.994
M                                 222.358    -27.699         175.040    466.137
k1                                380.390    -24.651         234.389    661.711
k2                                165.670     46.790         127.817    338.247
tau1                               77.961      2.324          87.418    220.757
tau2                              293.218     39.811         188.684    538.779
tauAch                            350.051    139.056         174.923    527.244
tauNor                            336.035    -68.692         166.701    519.203
beta                              283.444    162.981         193.857    507.835
h0                                552.558     27.945         230.323    795.420
mNor                              327.744     29.594         215.571    591.609
mAch                              467.096    225.130         247.923    710.035
