Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             156.744     -2.994         172.014    443.880
N                                 164.316     86.570         126.596    333.878
M                                 231.728    -29.535         183.291    481.556
k1                                391.818    -21.504         229.128    681.675
k2                                170.086     46.341         123.905    337.844
tau1                               82.361     -0.747          87.625    220.294
tau2                              301.002     38.585         186.860    550.334
tauAch                            361.815    146.001         178.869    544.138
tauNor                            351.496    -68.222         177.963    539.333
beta                              292.849    170.124         201.053    522.965
h0                                574.616     25.008         245.717    822.044
mNor                              336.756     28.836         212.483    602.314
mAch                              478.522    227.735         243.645    726.020
