Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             106.942     -6.052         123.952    312.991
N                                 101.754     64.089          96.357    233.639
M                                 163.837    -20.438         134.906    344.242
k1                                283.232    -19.693         170.454    493.637
k2                                122.162     35.889         100.957    252.887
tau1                               57.495      2.072          66.922    164.810
tau2                              218.111     29.832         145.994    402.193
tauAch                            257.682    102.159         130.468    389.251
tauNor                            246.765    -51.332         120.413    382.925
beta                              208.298    118.905         138.966    375.094
h0                                406.169     19.105         180.414    586.510
mNor                              242.085     22.994         151.993    440.814
mAch                              347.510    169.181         184.954    529.546
