Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.096     -3.997         171.520    419.007
N                                 179.250     61.909         131.358    341.655
M                                 217.795    -33.547         167.552    454.010
k1                                350.572    -17.585         216.782    619.480
k2                                156.220     46.019         117.281    304.640
tau1                               75.586      6.016          84.536    202.764
tau2                              269.336     36.209         175.075    499.982
tauAch                            325.702    127.275         164.649    492.350
tauNor                            326.127    -53.603         163.666    497.319
beta                              273.368    159.849         179.590    485.437
h0                                544.073     43.717         221.934    762.353
mNor                              315.269     27.534         189.879    552.378
mAch                              438.478    208.871         229.098    665.135
