Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.735     -6.764         168.412    425.588
N                                 142.505     86.982         131.814    317.671
M                                 222.838    -27.296         172.652    466.501
k1                                383.827    -25.195         225.904    667.958
k2                                166.069     47.195         126.583    339.797
tau1                               78.738      1.628          83.607    221.425
tau2                              295.346     39.703         191.169    542.696
tauAch                            350.773    139.911         180.939    528.436
tauNor                            336.068    -69.134         166.225    520.103
beta                              282.863    162.235         190.446    508.311
h0                                552.005     24.919         244.522    795.759
mNor                              327.812     30.251         206.226    594.701
mAch                              469.698    227.410         255.798    714.649
