Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              51.534      1.046          54.262    142.607
N                                  58.276     24.962          43.231    115.621
M                                  77.846     -8.634          61.095    161.084
k1                                128.806     -6.667          76.373    221.576
k2                                 59.325     12.745          42.957    115.675
tau1                               26.368     -0.614          28.972     74.070
tau2                              100.682     13.704          63.883    180.967
tauAch                            126.461     49.817          61.384    188.076
tauNor                            119.527    -24.070          57.890    181.987
beta                              100.418     59.007          67.600    177.096
h0                                195.811     10.724          83.205    280.234
mNor                              113.157      7.971          69.244    199.870
mAch                              158.464     73.922          82.682    239.404
