Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              95.936     -8.694         114.537    282.204
N                                  90.985     58.439          84.390    204.690
M                                 145.146    -19.216         116.486    304.450
k1                                248.274    -18.278         155.056    437.480
k2                                107.983     34.122          84.017    220.469
tau1                               51.234      3.976          54.225    143.911
tau2                              192.626     26.467         124.727    354.412
tauAch                            224.531     85.815         110.266    337.145
tauNor                            213.373    -43.119         113.565    334.696
beta                              182.488    103.341         125.504    329.079
h0                                357.556     17.140         149.675    513.587
mNor                              215.298     21.966         140.450    389.501
mAch                              309.254    150.088         162.350    469.184
