Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.304    -11.054         163.012    434.768
N                                 140.605     94.376         124.445    313.301
M                                 223.248    -28.029         177.725    465.459
k1                                386.810    -25.981         236.592    677.125
k2                                166.415     50.146         120.494    336.120
tau1                               80.406      2.106          86.404    219.379
tau2                              298.012     38.928         193.180    545.443
tauAch                            347.956    137.071         172.567    521.214
tauNor                            331.586    -66.855         167.303    516.835
beta                              278.811    158.498         191.930    504.568
h0                                547.343     19.390         234.266    788.256
mNor                              327.734     32.291         214.330    596.107
mAch                              473.732    229.954         262.349    719.775
