Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              68.846      1.950          75.295    186.873
N                                  79.382     43.505          47.663    131.488
M                                  91.382     -8.693          66.446    179.011
k1                                148.341      0.321          89.809    262.896
k2                                 64.857     10.374          35.832    106.519
tau1                               37.044     -7.869          24.572     69.006
tau2                              109.873      9.349          68.310    196.103
tauAch                            140.568     59.370          68.767    209.413
tauNor                            135.381    -20.401          67.830    207.776
beta                              106.507     65.615          73.597    191.457
h0                                220.514     -7.397          90.281    307.489
mNor                              121.233      6.198          72.180    211.094
mAch                              176.985     75.733          87.232    264.172
