Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.400     -7.573         171.375    433.099
N                                 148.067     86.508         124.132    319.475
M                                 225.091    -27.482         175.318    469.516
k1                                382.072    -24.368         227.764    667.699
k2                                166.383     47.422         124.829    336.194
tau1                               80.316      3.437          86.914    219.474
tau2                              292.888     39.237         190.754    539.590
tauAch                            348.237    137.352         171.837    524.561
tauNor                            334.849    -66.992         169.369    519.094
beta                              283.681    163.707         182.459    509.443
h0                                555.624     27.741         240.369    796.342
mNor                              329.156     29.988         213.756    594.353
mAch                              472.018    225.416         249.373    714.459
