Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              75.671      2.512          78.170    203.637
N                                 616.631   -488.243        1019.146   2403.196
M                                 118.525    -25.335          87.316    236.309
k1                                166.169     -8.471         100.162    292.857
k2                                 77.536     21.640          50.155    144.318
tau1                               36.493      0.987          36.145     92.283
tau2                              128.289     13.876          81.911    236.163
tauAch                            158.930     61.110          79.158    242.983
tauNor                            619.119    427.178         877.177   2072.823
beta                              139.865     86.134          90.578    241.537
h0                                307.270     57.089         116.340    410.671
mNor                              157.925     10.148          86.563    263.675
mAch                              232.369    109.784         105.557    326.160
