Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.955     -2.790         170.197    420.028
N                                 150.210     81.400         126.542    321.573
M                                 223.494    -27.128         168.963    466.194
k1                                380.523    -23.086         237.433    658.409
k2                                167.192     44.502         125.785    338.734
tau1                               77.841      1.030          85.992    221.259
tau2                              294.589     39.561         184.067    537.074
tauAch                            354.358    141.991         182.777    531.681
tauNor                            340.067    -69.791         166.023    521.841
beta                              285.390    164.618         189.763    509.248
h0                                554.334     29.068         229.218    798.754
mNor                              328.330     28.126         208.373    589.520
mAch                              465.037    223.110         238.669    706.455
