Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.333     -8.280         161.285    404.909
N                                 165.869     63.365         114.439    312.219
M                                 206.530    -29.059         154.172    428.220
k1                                324.939    -17.064         213.596    584.702
k2                                151.359     42.930         103.616    283.310
tau1                               71.910     10.518          74.623    188.399
tau2                              251.462     33.080         160.739    465.048
tauAch                            300.645    112.857         148.508    451.749
tauNor                            295.711    -47.851         152.615    459.240
beta                              253.092    148.788         175.824    453.641
h0                                508.474     41.516         208.737    710.053
mNor                              297.988     24.537         179.911    519.967
mAch                              422.185    189.853         205.952    630.469
