Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             123.764     -0.682         147.855    346.697
N                                 144.000     54.543         108.467    283.804
M                                 183.599    -26.963         149.424    384.570
k1                                305.936    -17.216         183.590    532.108
k2                                132.618     38.670          99.042    267.854
tau1                               63.070      1.169          65.701    176.437
tau2                              236.692     31.091         153.641    434.974
tauAch                            284.318    114.288         146.126    430.801
tauNor                            283.240    -51.895         140.282    429.763
beta                              235.432    136.766         152.071    416.427
h0                                459.866     30.188         187.536    655.636
mNor                              269.124     23.694         162.988    475.358
mAch                              373.714    180.437         187.871    570.768
