Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.070     -7.764         163.281    430.893
N                                 143.806     88.509         120.308    318.032
M                                 223.904    -27.616         177.283    468.119
k1                                384.045    -24.814         232.837    670.528
k2                                165.899     47.706         126.231    338.003
tau1                               79.693      2.209          85.660    220.325
tau2                              294.806     39.502         194.005    542.654
tauAch                            349.724    138.880         175.293    527.065
tauNor                            335.564    -67.883         169.445    520.379
beta                              282.627    162.344         193.929    508.823
h0                                553.599     24.481         239.168    796.177
mNor                              328.217     30.502         217.741    595.382
mAch                              471.785    227.500         254.328    716.456
