Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.753    -11.254         160.687    413.227
N                                 132.307     86.984         126.207    303.518
M                                 214.540    -27.517         169.273    450.345
k1                                372.811    -27.642         222.095    651.513
k2                                160.904     49.969         124.206    331.816
tau1                               75.472      4.202          85.573    216.619
tau2                              287.544     39.332         192.567    529.972
tauAch                            335.456    131.004         164.519    504.971
tauNor                            319.388    -66.385         165.493    498.689
beta                              270.910    153.196         184.598    489.529
h0                                528.842     23.650         234.646    763.714
mNor                              318.374     32.075         208.251    580.588
mAch                              458.515    224.466         243.006    698.303
