Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.763    -14.322         165.492    432.385
N                                 140.299     94.226         124.593    308.015
M                                 220.839    -28.574         167.863    459.849
k1                                381.895    -27.472         226.247    670.944
k2                                166.146     52.441         124.098    332.760
tau1                               79.363      4.847          83.774    217.732
tau2                              295.650     39.067         192.177    540.089
tauAch                            341.568    131.245         172.734    509.022
tauNor                            322.866    -64.757         161.742    506.877
beta                              274.437    154.561         186.928    497.038
h0                                538.483     20.562         239.883    774.456
mNor                              326.374     33.803         213.112    591.734
mAch                              471.541    229.265         241.078    714.330
