Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.403    -18.160         142.108    347.975
N                                 115.873     77.541          97.263    237.140
M                                 173.776    -27.418         132.073    358.877
k1                                296.259    -20.462         185.207    526.153
k2                                132.961     46.167          95.633    254.802
tau1                               63.254     12.182          65.790    170.342
tau2                              230.255     33.297         153.124    421.155
tauAch                            261.358     92.366         129.083    386.118
tauNor                            245.704    -43.828         131.214    390.134
beta                              211.839    113.221         141.075    383.784
h0                                412.725     17.396         178.689    591.279
mNor                              260.185     32.668         160.226    463.197
mAch                              377.472    188.044         192.668    561.854
