Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.322     -9.212         179.241    437.255
N                                 142.261     92.838         126.155    317.215
M                                 224.953    -28.196         170.528    469.509
k1                                386.991    -24.687         229.495    677.570
k2                                166.386     48.882         123.199    336.467
tau1                               80.989      1.674          86.311    219.709
tau2                              297.620     38.975         193.027    545.907
tauAch                            350.436    138.908         177.132    526.470
tauNor                            335.867    -67.119         175.465    521.768
beta                              281.788    161.317         190.240    508.864
h0                                553.460     21.344         232.109    796.031
mNor                              328.986     31.400         207.400    597.122
mAch                              474.525    229.021         254.025    720.706
